insee_code;city_code;zip_code;label;latitude;longitude;department_name;department_number;region_name;region_geojson_name
62060;auxi le chateau;62390;auxi le chateau;50.230869722;2.117057277;pas-de-calais;62;hauts-de-france;Hauts-de-France
59173;deulemont;59890;deulemont;50.728346106;2.9701399630000003;nord;59;hauts-de-france;Hauts-de-France
62131;bihucourt;62121;bihucourt;50.127205278;2.800861113;pas-de-calais;62;hauts-de-france;Hauts-de-France
62061;averdoingt;62127;averdoingt;50.344946325;2.44394614;pas-de-calais;62;hauts-de-france;Hauts-de-France
59176;doignies;59400;doignies;50.132173801;3.013789587;nord;59;hauts-de-france;Hauts-de-France
62135;blairville;62173;blairville;50.21869329;2.714330583;pas-de-calais;62;hauts-de-france;Hauts-de-France
62063;avesnes le comte;62810;avesnes le comte;50.271923846;2.528521903;pas-de-calais;62;hauts-de-france;Hauts-de-France
59177;dompierre sur helpe;59440;dompierre sur helpe;50.141387889;3.859572147;nord;59;hauts-de-france;Hauts-de-France
62142;blingel;62770;blingel;50.404977056;2.149873525;pas-de-calais;62;hauts-de-france;Hauts-de-France
62065;avion;62210;avion;50.404027107;2.827110111;pas-de-calais;62;hauts-de-france;Hauts-de-France
59182;drincham;59630;drincham;50.910454322;2.320106549;nord;59;hauts-de-france;Hauts-de-France
62146;boiry st martin;62175;boiry st martin;50.192502126;2.759259395;pas-de-calais;62;hauts-de-france;Hauts-de-France
62067;avroult;62560;avroult;50.631912899;2.145069745;pas-de-calais;62;hauts-de-france;Hauts-de-France
59183;dunkerque;59240;dunkerque;51.030110046;2.33669497;nord;59;hauts-de-france;Hauts-de-France
62151;boisleux au mont;62175;boisleux au mont;50.212239924;2.777680734;pas-de-calais;62;hauts-de-france;Hauts-de-France
62069;azincourt;62310;azincourt;50.458667349;2.117071156;pas-de-calais;62;hauts-de-france;Hauts-de-France
59183;dunkerque;59240;dunkerque;51.030110046;2.33669497;nord;59;hauts-de-france;Hauts-de-France
62152;boisleux st marc;62175;boisleux st marc;50.213896279;2.79608639;pas-de-calais;62;hauts-de-france;Hauts-de-France
62070;bailleul aux cornailles;62127;bailleul aux cornailles;50.373136511;2.448310391;pas-de-calais;62;hauts-de-france;Hauts-de-France
59183;dunkerque;59640;dunkerque;51.030110046;2.33669497;nord;59;hauts-de-france;Hauts-de-France
62155;bonningues les ardres;62890;bonningues les ardres;50.776124412;2.021638889;pas-de-calais;62;hauts-de-france;Hauts-de-France
62075;baincthun;62360;baincthun;50.70176624;1.712976368;pas-de-calais;62;hauts-de-france;Hauts-de-France
59184;ebblinghem;59173;ebblinghem;50.734298588;2.418784166;nord;59;hauts-de-france;Hauts-de-France
62163;bouret sur canche;62270;bouret sur canche;50.268170071;2.323361616;pas-de-calais;62;hauts-de-france;Hauts-de-France
62081;baralle;62860;baralle;50.213814406;3.056709054;pas-de-calais;62;hauts-de-france;Hauts-de-France
59198;eppe sauvage;59132;eppe sauvage;50.118503806;4.165331587;nord;59;hauts-de-france;Hauts-de-France
62164;bourlon;62860;bourlon;50.180849999;3.121056857;pas-de-calais;62;hauts-de-france;Hauts-de-France
62084;barly;62810;barly;50.24852538;2.5385701860000003;pas-de-calais;62;hauts-de-france;Hauts-de-France
59200;eringhem;59470;eringhem;50.889080047;2.312537959;nord;59;hauts-de-france;Hauts-de-France
62168;bourthes;62650;bourthes;50.612900731;1.934551053;pas-de-calais;62;hauts-de-france;Hauts-de-France
62103;behagnies;62121;behagnies;50.141947751;2.827534408;pas-de-calais;62;hauts-de-france;Hauts-de-France
59202;erquinghem lys;59193;erquinghem lys;50.670343821;2.840537745;nord;59;hauts-de-france;Hauts-de-France
62174;bremes;62610;bremes;50.847619734;1.955616057;pas-de-calais;62;hauts-de-france;Hauts-de-France
62120;beugin;62150;beugin;50.442506655;2.508643803;pas-de-calais;62;hauts-de-france;Hauts-de-France
59206;escaudoeuvres;59161;escaudoeuvres;50.192479963;3.2744354810000003;nord;59;hauts-de-france;Hauts-de-France
62185;bullecourt;62128;bullecourt;50.19240947;2.92933653;pas-de-calais;62;hauts-de-france;Hauts-de-France
62121;beugnatre;62450;beugnatre;50.13202934;2.876198011;pas-de-calais;62;hauts-de-france;Hauts-de-France
59209;esnes;59127;esnes;50.094691931;3.308603024;nord;59;hauts-de-france;Hauts-de-France
62193;calais;62100;calais;50.950594309;1.875252187;pas-de-calais;62;hauts-de-france;Hauts-de-France
62122;beugny;62124;beugny;50.118856288;2.932679594;pas-de-calais;62;hauts-de-france;Hauts-de-France
59210;esquelbecq;59470;esquelbecq;50.890512576;2.429163461;nord;59;hauts-de-france;Hauts-de-France
62200;cambrin;62149;cambrin;50.51191217;2.73778465;pas-de-calais;62;hauts-de-france;Hauts-de-France
62123;beussent;62170;beussent;50.557427547;1.814509187;pas-de-calais;62;hauts-de-france;Hauts-de-France
59211;esquerchin;59553;esquerchin;50.38546484;3.007377131;nord;59;hauts-de-france;Hauts-de-France
